City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Bluff,NZ,-46.6,168.3333,56.8,64,28,11.86,scattered clouds
80,Aykhal,RU,66.0,111.5,16.45,98,94,12.24,overcast clouds
81,Bogorodskoye,RU,56.55,37.8833,37.94,90,100,3.0,overcast clouds
82,Butaritari,KI,3.0707,172.7902,81.27,73,18,14.54,few clouds
83,Tiksi,RU,71.6872,128.8694,13.17,95,94,5.48,overcast clouds
84,Constantine,DZ,36.365,6.6147,63.81,45,0,3.44,clear sky
85,Muros,ES,42.7762,-9.0603,63.09,88,75,23.24,broken clouds
86,Kuandian,CN,40.7286,124.7847,52.9,89,98,2.44,overcast clouds
87,Diego De Almagro,CL,-26.3667,-70.05,61.99,34,0,2.91,clear sky
88,Evensk,RU,61.95,159.2333,14.95,73,78,7.92,broken clouds
89,Srednekolymsk,RU,67.45,153.6833,13.91,95,100,10.6,light snow
90,Aktau,KZ,43.65,51.2,54.75,61,96,28.14,overcast clouds
91,Nanortalik,GL,60.1432,-45.2371,41.04,88,100,15.14,overcast clouds
92,Cape Town,ZA,-33.9258,18.4232,65.37,63,0,25.32,clear sky
93,Halifax,CA,44.6453,-63.5724,55.45,89,0,9.22,clear sky
94,Hithadhoo,MV,-0.6,73.0833,81.05,76,99,8.79,overcast clouds
95,Mamallapuram,IN,12.6264,80.1722,78.85,86,99,7.14,overcast clouds
96,Vesyegonsk,RU,58.664,37.2604,32.34,90,26,1.23,scattered clouds
97,Novikovo,RU,51.1537,37.8879,38.46,74,95,4.59,overcast clouds
98,Ulladulla,AU,-35.35,150.4667,71.96,69,40,9.19,scattered clouds
99,Tranas,SE,58.0372,14.9782,43.39,93,100,3.91,overcast clouds
100,Mirandela,PT,41.4874,-7.187,58.3,89,0,3.36,clear sky
101,Buta,CD,2.7858,24.73,69.87,99,100,0.38,overcast clouds
102,Kruisfontein,ZA,-34.0033,24.7314,61.3,83,100,4.97,overcast clouds
103,Henties Bay,NA,-22.116,14.2845,56.7,96,17,7.0,few clouds
104,Ambilobe,MG,-13.2,49.05,67.26,82,12,3.94,few clouds
105,Arraial Do Cabo,BR,-22.9661,-42.0278,72.23,93,100,24.85,overcast clouds
106,Esperance,AU,-33.8667,121.9,57.04,71,100,5.23,light rain
107,Rotifunk,SL,8.2333,-12.6833,73.76,97,52,2.42,light rain
108,Saint-Augustin,CA,51.226,-58.6502,45.34,76,14,11.68,few clouds
109,Bubaque,GW,11.2833,-15.8333,81.43,75,50,4.03,light rain
110,Prince Rupert,CA,54.3161,-130.3201,51.49,78,75,14.97,broken clouds
111,Kaka,TM,37.3482,59.6143,72.57,30,58,15.82,broken clouds
112,Waddan,LY,29.1614,16.139,65.21,74,12,7.4,few clouds
113,Mindelo,CV,16.8901,-24.9804,78.35,73,20,19.57,few clouds
114,Hualmay,PE,-11.0964,-77.6139,61.75,81,45,10.36,scattered clouds
115,Tarauaca,BR,-8.1614,-70.7656,80.15,72,74,2.53,light rain
116,San Patricio,US,28.017,-97.5169,80.46,56,0,13.53,clear sky
117,Bac Lieu,VN,9.285,105.7244,80.04,85,99,8.84,overcast clouds
118,Kapaa,US,22.0752,-159.319,87.78,69,75,14.97,broken clouds
119,Nizhneivkino,RU,58.194,49.5214,28.92,85,10,6.55,clear sky
120,Katsuura,JP,35.1333,140.3,72.75,66,100,17.02,overcast clouds
121,Ponta Do Sol,PT,32.6667,-17.1,73.0,84,76,5.08,broken clouds
122,Paramonga,PE,-10.6667,-77.8333,61.36,84,44,9.22,scattered clouds
123,Upernavik,GL,72.7868,-56.1549,25.43,88,100,5.23,light snow
124,Saint George,US,37.1041,-113.5841,81.95,18,0,13.8,clear sky
125,Klaksvik,FO,62.2266,-6.589,43.72,75,100,18.45,overcast clouds
126,Pagudpud,PH,18.5616,120.7868,79.61,86,100,1.74,overcast clouds
127,Ambarawa,ID,-7.2633,110.3975,71.37,84,99,0.63,overcast clouds
128,Nuevo Progreso,MX,23.1667,-97.95,76.46,61,16,1.01,few clouds
129,Castro,BR,-24.7911,-50.0119,59.63,95,38,4.76,scattered clouds
130,Uribia,CO,11.7139,-72.266,83.08,71,46,7.81,scattered clouds
131,Buchanan,LR,5.8808,-10.0467,76.42,88,61,4.25,broken clouds
132,Yurimaguas,PE,-5.9,-76.0833,80.46,69,79,2.71,broken clouds
133,Puerto Escondido,MX,15.85,-97.0667,80.19,81,24,3.51,light rain
134,Puerto Ayora,EC,-0.7393,-90.3518,67.55,91,79,7.0,broken clouds
135,Ribeira Grande,PT,38.5167,-28.7,67.77,72,99,1.99,overcast clouds
136,Kontagora,NG,10.3999,5.4695,73.87,58,72,1.36,broken clouds
137,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,86,75,6.91,broken clouds
138,Scarborough,GB,54.2797,-0.4044,58.57,91,100,3.0,overcast clouds
139,Cabo San Lucas,MX,22.8909,-109.9124,87.62,79,79,11.32,broken clouds
140,Jinchang,CN,38.4953,102.1739,46.18,39,100,2.95,overcast clouds
141,Tautira,PF,-17.7333,-149.15,77.65,79,50,16.62,light rain
142,Palana,RU,59.1167,159.9667,22.33,85,90,5.53,overcast clouds
143,Udachnyy,RU,66.4167,112.4,9.14,97,74,4.18,broken clouds
144,Malakal,SS,9.5334,31.6605,70.7,92,65,3.76,broken clouds
145,Saint Albans,GB,51.75,-0.3333,59.7,94,75,10.36,broken clouds
146,Tyukhtet,RU,56.5389,89.3011,44.11,82,100,10.71,overcast clouds
147,Cherskiy,RU,68.75,161.3,13.48,95,100,6.4,overcast clouds
148,Longyearbyen,SJ,78.2186,15.6401,22.84,68,20,20.71,few clouds
149,Lasa,IT,46.6166,10.7002,56.28,99,100,6.06,overcast clouds
150,Maceio,BR,-9.6658,-35.7353,74.64,88,20,3.44,few clouds
151,Atambua,ID,-9.1061,124.8925,82.98,60,100,2.04,overcast clouds
152,Faya,SA,18.3851,42.4509,59.11,57,0,2.55,clear sky
153,Porto Nacional,BR,-10.7081,-48.4172,84.2,33,99,2.3,overcast clouds
154,Kargasok,RU,59.0556,80.8572,40.5,96,99,8.52,light rain
155,Auki,SB,-8.7676,160.7034,82.06,81,100,5.68,overcast clouds
156,Zlobin,HR,45.2924,14.6541,56.59,86,100,3.71,overcast clouds
157,Kavieng,PG,-2.5744,150.7967,83.64,68,100,8.9,overcast clouds
158,Mbuji-Mayi,CD,-6.15,23.6,70.32,93,78,2.35,broken clouds
159,Fortuna,US,40.5982,-124.1573,64.92,69,100,9.22,overcast clouds
160,Dongsheng,CN,39.8161,109.9776,41.0,34,0,3.6,clear sky
161,Okha,RU,53.5739,142.9478,33.62,59,97,12.5,overcast clouds
162,Nizhniy Tsasuchey,RU,50.5167,115.1333,30.69,58,64,3.0,broken clouds
163,Torbay,CA,47.6666,-52.7314,51.58,86,75,9.22,broken clouds
164,Bay Roberts,CA,47.5999,-53.2648,52.34,90,100,7.07,overcast clouds
165,Ambon,ID,-3.6954,128.1814,84.34,79,20,3.44,few clouds
166,Lucea,JM,18.451,-78.1736,76.86,75,77,3.47,broken clouds
167,Pangkalanbuun,ID,-2.6833,111.6167,76.44,92,100,0.89,overcast clouds
168,Lorengau,PG,-2.0226,147.2712,84.4,64,85,8.79,overcast clouds
169,Green Valley,US,31.8543,-110.9937,88.57,42,47,10.74,scattered clouds
170,Souillac,MU,-20.5167,57.5167,71.98,88,40,5.75,scattered clouds
171,Chamba,IN,32.5667,76.1333,56.46,42,0,8.77,clear sky
172,Brigantine,US,39.4101,-74.3646,60.01,74,0,4.0,clear sky
173,Kedrovyy,RU,56.1667,91.8167,37.87,96,100,8.93,light rain
174,Azanka,RU,58.0401,64.7893,27.55,81,36,7.4,scattered clouds
175,Iqaluit,CA,63.7506,-68.5145,35.33,87,75,23.02,light rain
176,Geraldton,AU,-28.7667,114.6,65.89,63,68,8.05,broken clouds
177,Aksu,CN,41.1231,80.2644,48.61,40,0,1.01,clear sky
