City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
170,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
178,Port Alfred,ZA,67.98,moderate rain,-33.5906,26.891,The Halyards Hotel & Spa
180,Mazara Del Vallo,IT,70.9,clear sky,37.6641,12.588,Vizier Resort & Spa
181,Santa Cruz Cabralia,BR,77.23,scattered clouds,-16.2781,-39.0247,Puerto Princesa Inn
184,Road Town,VG,82.49,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
186,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
191,Karratha,AU,78.1,clear sky,-20.7377,116.8463,ibis Styles Karratha
193,Dakar,SN,79.68,scattered clouds,14.6937,-17.4441,Novotel Dakar
196,Labuhan,ID,80.24,light rain,-6.8844,112.2051,DoubleFAG
197,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
198,Qui Nhon,VN,76.14,overcast clouds,13.7667,109.2333,Seagull Hotel
200,Lahaina,US,93.2,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
205,Tierra Colorada,MX,74.84,light rain,17.1667,-99.5833,motel
206,Buraydah,SA,68.45,clear sky,26.326,43.975,Mövenpick Qassim
209,Calera,US,68.29,clear sky,33.1029,-86.7536,Quality Inn Calera I-65 exit 231
211,Carutapera,BR,79.0,broken clouds,-1.195,-46.02,Lidera
212,Meulaboh,ID,75.27,moderate rain,4.1363,96.1285,Kost Pria
213,Ampanihy,MG,69.33,clear sky,-24.7,44.75,HOTEL SHARRON AMPANIHY OUEST
214,Richards Bay,ZA,69.75,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
215,Cap Malheureux,MU,72.46,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
223,Akyab,MM,77.76,overcast clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
226,Upata,VE,79.2,overcast clouds,8.0086,-62.3989,Posada Villa Nela
234,Blackfoot,US,68.05,scattered clouds,43.1905,-112.345,Super 8 by Wyndham Blackfoot/Idaho Falls
235,La Libertad,EC,71.26,overcast clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
237,Kasulu,TZ,69.26,overcast clouds,-4.5767,30.1025,Nazaret lodge
241,Rangoon,MM,78.76,broken clouds,16.8053,96.1561,Clover Hotel
242,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
243,Lompoc,US,75.02,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
245,Tateyama,JP,71.1,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
247,Santa Fe,AR,69.94,light rain,-31.6333,-60.7,Conquistador Hotel
252,Saint-Joseph,RE,68.38,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
254,Guerrero Negro,MX,74.86,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
256,Half Moon Bay,US,71.53,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
257,Eureka,US,67.68,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
265,Laguna,US,87.01,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
267,Bilma,NE,73.8,clear sky,18.6853,12.9164,Expeditions Ténére voyages
269,Miraflores,MX,67.87,light rain,19.2167,-98.8083,Hotel Mansión
270,Tete,MZ,84.29,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
271,Bambous Virieux,MU,72.21,light rain,-20.3428,57.7575,Casa Tia Villa
272,Moindou,NC,78.85,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
275,Sao Joao Da Barra,BR,77.09,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
276,Samarai,PG,84.87,few clouds,-10.6167,150.6667,Nuli Sapi
277,Kuching,MY,75.42,few clouds,1.55,110.3333,Hilton Kuching
278,San Angelo,US,80.94,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
279,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
280,Touho,NC,74.93,overcast clouds,-20.7833,165.2333,Auberge Timay Evasion
281,Kahului,US,85.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
283,Mackay,AU,82.69,clear sky,-21.15,149.2,International Lodge Motel
285,Marrakesh,MA,73.47,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
